shortcode,url,published_at,duration_seconds,likes,comments,plays,saves,shares,transcript_status,source
C3NTe1QscHJ,https://www.instagram.com/reel/C3NTe1QscHJ/,2024-02-11T12:53:00,63.0,57570,682,,,,unavailable,snapshot:bartsevmatvei_public_snapshot.json
DAai5N5Mn6v,https://www.instagram.com/reel/DAai5N5Mn6v/,2024-09-27T09:01:00,79.0,44749,235,,,,unavailable,snapshot:bartsevmatvei_public_snapshot.json
C1p5p3lsWeh,https://www.instagram.com/reel/C1p5p3lsWeh/,2024-01-03T22:22:00,29.0,30342,384,,,,unavailable,snapshot:bartsevmatvei_public_snapshot.json
DbdzupLRYia,https://www.instagram.com/reel/DbdzupLRYia/,2026-07-31T17:37:00,90.0,1568,152,,,,unavailable,snapshot:bartsevmatvei_public_snapshot.json
DcBd8t2NFrm,https://www.instagram.com/reel/DcBd8t2NFrm/,2026-08-14T14:18:00,93.0,1555,194,,,,unavailable,snapshot:bartsevmatvei_public_snapshot.json
Db8Pis3t_kw,https://www.instagram.com/reel/Db8Pis3t_kw/,2026-08-12T13:14:00,43.0,1298,183,,,,unavailable,snapshot:bartsevmatvei_public_snapshot.json
Db5aRxateZ4,https://www.instagram.com/reel/Db5aRxateZ4/,2026-08-11T10:52:00,88.0,841,124,,,,unavailable,snapshot:bartsevmatvei_public_snapshot.json
DboOky-JBLh,https://www.instagram.com/reel/DboOky-JBLh/,2026-08-04T18:45:00,112.0,832,47,,,,unavailable,snapshot:bartsevmatvei_public_snapshot.json
Dbi9trDxSCX,https://www.instagram.com/reel/Dbi9trDxSCX/,2026-08-02T17:40:00,58.0,634,37,,,,unavailable,snapshot:bartsevmatvei_public_snapshot.json
Db1IsxCtxmn,https://www.instagram.com/reel/Db1IsxCtxmn/,2026-08-09T18:59:00,73.0,475,119,,,,unavailable,snapshot:bartsevmatvei_public_snapshot.json
Dbujm6pNjRm,https://www.instagram.com/reel/Dbujm6pNjRm/,2026-08-07T05:39:00,31.0,403,115,,,,unavailable,snapshot:bartsevmatvei_public_snapshot.json
DcEzEOJpHTH,https://www.instagram.com/reel/DcEzEOJpHTH/,2026-08-15T20:57:00,33.0,90,2,,,,unavailable,snapshot:bartsevmatvei_public_snapshot.json
